alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
20,0.000E+00,0.000E+00,3.583E-03,1.281E-03,0.000E+00,7.812E-07,3.125E-06,2.719E-03,1.149E-02,3.841E-01,1.696E+00,-2.133E-01,2.830E+00,1.812E+00,3.142E+00,2.076E-03,2.434E+00,2.465E+00,2.241E-01,1.660E+00,1.739E+00,-2.236E-01,2.793E+00,1.661E+00,3.142E+00,-2.237E-03,2.664E+00,2.627E+00,1.055E-01,3.334E+00,1.766E+00,-1.212E-01,1.534E+00,2.030E+00,3.142E+00,-4.806E-03,2.479E+00,2.406E+00,5.691E-02,4.931E+00
21,0.000E+00,0.000E+00,3.709E-03,1.297E-03,0.000E+00,8.789E-07,3.320E-06,2.833E-03,1.191E-02,3.974E-01,1.696E+00,-2.249E-01,2.938E+00,1.805E+00,3.142E+00,1.408E-03,2.451E+00,2.472E+00,2.225E-01,1.671E+00,1.736E+00,-2.337E-01,2.862E+00,1.681E+00,3.142E+00,-2.164E-03,2.655E+00,2.620E+00,1.054E-01,3.339E+00,1.763E+00,-1.471E-01,1.708E+00,1.978E+00,3.142E+00,-4.804E-03,2.474E+00,2.401E+00,5.634E-02,4.971E+00
22,0.000E+00,0.000E+00,3.835E-03,1.312E-03,0.000E+00,9.766E-07,3.516E-06,2.947E-03,1.232E-02,4.107E-01,1.696E+00,-2.366E-01,3.045E+00,1.798E+00,3.142E+00,7.397E-04,2.469E+00,2.479E+00,2.208E-01,1.682E+00,1.733E+00,-2.438E-01,2.932E+00,1.700E+00,3.142E+00,-2.092E-03,2.646E+00,2.612E+00,1.052E-01,3.343E+00,1.764E+00,-1.730E-01,1.881E+00,1.926E+00,3.142E+00,-4.803E-03,2.468E+00,2.397E+00,5.576E-02,5.012E+00
23,0.000E+00,0.000E+00,3.962E-03,1.328E-03,0.000E+00,1.074E-06,3.711E-06,3.061E-03,1.274E-02,4.240E-01,1.697E+00,-2.482E-01,3.153E+00,1.791E+00,3.142E+00,7.141E-05,2.486E+00,2.486E+00,2.192E-01,1.693E+00,1.730E+00,-2.539E-01,3.001E+00,1.720E+00,3.142E+00,-2.019E-03,2.637E+00,2.604E+00,1.050E-01,3.348E+00,1.768E+00,-1.989E-01,2.055E+00,1.875E+00,3.142E+00,-4.801E-03,2.463E+00,2.392E+00,5.518E-02,5.052E+00
24,0.000E+00,0.000E+00,4.025E-03,1.335E-03,0.000E+00,1.123E-06,3.809E-06,3.118E-03,1.294E-02,4.306E-01,1.697E+00,-2.540E-01,3.207E+00,1.788E+00,3.142E+00,-2.627E-04,2.495E+00,2.490E+00,2.184E-01,1.699E+00,1.729E+00,-2.589E-01,3.036E+00,1.730E+00,3.142E+00,-1.983E-03,2.633E+00,2.600E+00,1.049E-01,3.350E+00,1.770E+00,-2.118E-01,2.142E+00,1.849E+00,3.142E+00,-4.800E-03,2.461E+00,2.389E+00,5.490E-02,5.072E+00
25,0.000E+00,0.000E+00,4.088E-03,1.343E-03,0.000E+00,1.172E-06,3.906E-06,3.175E-03,1.315E-02,4.373E-01,1.698E+00,-2.598E-01,3.261E+00,1.784E+00,3.142E+00,-5.969E-04,2.503E+00,2.493E+00,2.175E-01,1.704E+00,1.728E+00,-2.639E-01,3.071E+00,1.740E+00,3.142E+00,-1.947E-03,2.628E+00,2.596E+00,1.049E-01,3.353E+00,1.774E+00,-2.248E-01,2.229E+00,1.823E+00,3.142E+00,-4.799E-03,2.458E+00,2.387E+00,5.461E-02,5.092E+00
26,0.000E+00,0.000E+00,4.214E-03,1.358E-03,0.000E+00,1.270E-06,4.102E-06,3.290E-03,1.357E-02,4.506E-01,1.699E+00,-2.715E-01,3.368E+00,1.777E+00,3.142E+00,-1.265E-03,2.521E+00,2.500E+00,2.159E-01,1.715E+00,1.725E+00,-2.740E-01,3.140E+00,1.759E+00,3.142E+00,-1.874E-03,2.619E+00,2.588E+00,1.047E-01,3.357E+00,1.782E+00,-2.507E-01,2.402E+00,1.772E+00,3.142E+00,-4.798E-03,2.453E+00,2.382E+00,5.403E-02,5.133E+00
27,0.000E+00,0.000E+00,4.340E-03,1.374E-03,0.000E+00,1.367E-06,4.297E-06,3.404E-03,1.398E-02,4.639E-01,1.701E+00,-2.831E-01,3.476E+00,1.771E+00,3.142E+00,-1.933E-03,2.538E+00,2.507E+00,2.142E-01,1.726E+00,1.723E+00,-2.841E-01,3.210E+00,1.779E+00,3.142E+00,-1.802E-03,2.610E+00,2.581E+00,1.045E-01,3.362E+00,1.792E+00,-2.765E-01,2.576E+00,1.720E+00,3.142E+00,-4.796E-03,2.448E+00,2.377E+00,5.345E-02,5.173E+00
28,0.000E+00,0.000E+00,4.467E-03,1.389E-03,0.000E+00,1.465E-06,4.492E-06,3.518E-03,1.440E-02,4.772E-01,1.703E+00,-2.947E-01,3.583E+00,1.764E+00,3.142E+00,-2.602E-03,2.556E+00,2.514E+00,2.126E-01,1.737E+00,1.721E+00,-2.942E-01,3.279E+00,1.798E+00,3.142E+00,-1.729E-03,2.601E+00,2.573E+00,1.043E-01,3.366E+00,1.804E+00,-3.024E-01,2.750E+00,1.669E+00,3.142E+00,-4.794E-03,2.443E+00,2.373E+00,5.288E-02,5.213E+00
29,0.000E+00,0.000E+00,4.530E-03,1.397E-03,0.000E+00,1.514E-06,4.590E-06,3.575E-03,1.460E-02,4.839E-01,1.704E+00,-3.005E-01,3.637E+00,1.760E+00,3.142E+00,-2.936E-03,2.564E+00,2.518E+00,2.118E-01,1.743E+00,1.720E+00,-2.992E-01,3.314E+00,1.808E+00,3.142E+00,-1.693E-03,2.596E+00,2.569E+00,1.043E-01,3.368E+00,1.811E+00,-3.154E-01,2.837E+00,1.643E+00,3.142E+00,-4.793E-03,2.441E+00,2.370E+00,5.259E-02,5.234E+00
