alpha,H,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
20,0.000E+00,0.000E+00,1.824E-03,0.000E+00,2.578E-03,3.779E-03,7.617E-04,3.666E-03,2.951E-01,1.729E+00,-1.132E-01,1.706E+00,2.007E+00,3.142E+00,1.314E-03,2.436E+00,2.455E+00,9.121E-02,3.180E+00,1.718E+00,-1.224E-01,1.942E+00,1.882E+00,3.142E+00,-2.498E-04,2.625E+00,2.621E+00,1.061E-01,3.320E+00,1.793E+00,-6.557E-02,1.369E+00,1.773E+00,3.142E+00,-2.426E-03,2.465E+00,2.429E+00,6.629E-02,4.391E+00
21,0.000E+00,0.000E+00,1.877E-03,0.000E+00,2.667E-03,3.922E-03,7.956E-04,3.785E-03,3.053E-01,1.739E+00,-1.286E-01,1.751E+00,1.983E+00,3.142E+00,1.074E-03,2.451E+00,2.467E+00,9.065E-02,3.195E+00,1.713E+00,-1.446E-01,2.113E+00,1.878E+00,3.142E+00,-5.685E-04,2.629E+00,2.620E+00,1.061E-01,3.319E+00,1.790E+00,-8.726E-02,1.479E+00,1.777E+00,3.142E+00,-2.217E-03,2.454E+00,2.421E+00,6.606E-02,4.403E+00
22,0.000E+00,0.000E+00,1.930E-03,0.000E+00,2.755E-03,4.066E-03,8.295E-04,3.905E-03,3.155E-01,1.748E+00,-1.439E-01,1.795E+00,1.958E+00,3.142E+00,8.330E-04,2.466E+00,2.479E+00,9.008E-02,3.211E+00,1.709E+00,-1.668E-01,2.284E+00,1.874E+00,3.142E+00,-8.871E-04,2.633E+00,2.618E+00,1.062E-01,3.318E+00,1.787E+00,-1.090E-01,1.588E+00,1.780E+00,3.142E+00,-2.007E-03,2.443E+00,2.413E+00,6.584E-02,4.414E+00
23,0.000E+00,0.000E+00,1.984E-03,0.000E+00,2.844E-03,4.210E-03,8.634E-04,4.025E-03,3.257E-01,1.758E+00,-1.593E-01,1.840E+00,1.934E+00,3.142E+00,5.924E-04,2.481E+00,2.490E+00,8.951E-02,3.227E+00,1.707E+00,-1.889E-01,2.455E+00,1.869E+00,3.142E+00,-1.206E-03,2.636E+00,2.616E+00,1.062E-01,3.316E+00,1.785E+00,-1.306E-01,1.697E+00,1.783E+00,3.142E+00,-1.797E-03,2.432E+00,2.406E+00,6.561E-02,4.426E+00
24,0.000E+00,0.000E+00,2.010E-03,0.000E+00,2.888E-03,4.281E-03,8.803E-04,4.085E-03,3.308E-01,1.763E+00,-1.670E-01,1.862E+00,1.921E+00,3.142E+00,4.721E-04,2.489E+00,2.496E+00,8.923E-02,3.235E+00,1.706E+00,-2.000E-01,2.541E+00,1.867E+00,3.142E+00,-1.365E-03,2.638E+00,2.616E+00,1.062E-01,3.316E+00,1.785E+00,-1.415E-01,1.752E+00,1.785E+00,3.142E+00,-1.693E-03,2.427E+00,2.402E+00,6.550E-02,4.432E+00
25,0.000E+00,0.000E+00,2.037E-03,0.000E+00,2.933E-03,4.353E-03,8.973E-04,4.145E-03,3.359E-01,1.768E+00,-1.747E-01,1.884E+00,1.909E+00,3.142E+00,3.518E-04,2.497E+00,2.502E+00,8.895E-02,3.243E+00,1.706E+00,-2.111E-01,2.626E+00,1.865E+00,3.142E+00,-1.524E-03,2.640E+00,2.615E+00,1.063E-01,3.315E+00,1.784E+00,-1.523E-01,1.806E+00,1.787E+00,3.142E+00,-1.588E-03,2.422E+00,2.398E+00,6.539E-02,4.438E+00
26,0.000E+00,0.000E+00,2.090E-03,0.000E+00,3.021E-03,4.497E-03,9.312E-04,4.265E-03,3.461E-01,1.778E+00,-1.901E-01,1.928E+00,1.885E+00,3.142E+00,1.112E-04,2.512E+00,2.513E+00,8.838E-02,3.258E+00,1.706E+00,-2.333E-01,2.797E+00,1.861E+00,3.142E+00,-1.843E-03,2.643E+00,2.613E+00,1.063E-01,3.314E+00,1.784E+00,-1.740E-01,1.916E+00,1.790E+00,3.142E+00,-1.378E-03,2.411E+00,2.390E+00,6.517E-02,4.449E+00
27,0.000E+00,0.000E+00,2.143E-03,0.000E+00,3.110E-03,4.640E-03,9.650E-04,4.385E-03,3.563E-01,1.788E+00,-2.055E-01,1.973E+00,1.860E+00,3.142E+00,-1.294E-04,2.527E+00,2.525E+00,8.781E-02,3.274E+00,1.708E+00,-2.554E-01,2.968E+00,1.856E+00,3.142E+00,-2.162E-03,2.647E+00,2.612E+00,1.064E-01,3.313E+00,1.785E+00,-1.957E-01,2.025E+00,1.794E+00,3.142E+00,-1.168E-03,2.400E+00,2.383E+00,6.494E-02,4.461E+00
28,0.000E+00,0.000E+00,2.196E-03,0.000E+00,3.199E-03,4.784E-03,9.989E-04,4.504E-03,3.665E-01,1.798E+00,-2.209E-01,2.017E+00,1.835E+00,3.142E+00,-3.699E-04,2.543E+00,2.537E+00,8.725E-02,3.290E+00,1.710E+00,-2.776E-01,3.139E+00,1.852E+00,3.142E+00,-2.481E-03,2.651E+00,2.610E+00,1.064E-01,3.311E+00,1.786E+00,-2.174E-01,2.134E+00,1.797E+00,3.142E+00,-9.588E-04,2.389E+00,2.375E+00,6.472E-02,4.473E+00
29,0.000E+00,0.000E+00,2.223E-03,0.000E+00,3.243E-03,4.856E-03,1.016E-03,4.564E-03,3.717E-01,1.803E+00,-2.286E-01,2.039E+00,1.823E+00,3.142E+00,-4.902E-04,2.550E+00,2.543E+00,8.696E-02,3.298E+00,1.711E+00,-2.887E-01,3.225E+00,1.850E+00,3.142E+00,-2.640E-03,2.653E+00,2.609E+00,1.064E-01,3.311E+00,1.787E+00,-2.282E-01,2.189E+00,1.799E+00,3.142E+00,-8.540E-04,2.383E+00,2.371E+00,6.461E-02,4.478E+00
30,0.000E+00,0.000E+00,2.249E-03,0.000E+00,3.288E-03,4.927E-03,1.033E-03,4.624E-03,3.768E-01,1.808E+00,-2.362E-01,2.062E+00,1.811E+00,3.142E+00,-6.105E-04,2.558E+00,2.548E+00,8.668E-02,3.306E+00,1.712E+00,-2.997E-01,3.311E+00,1.848E+00,3.142E+00,-2.799E-03,2.654E+00,2.608E+00,1.065E-01,3.310E+00,1.787E+00,-2.391E-01,2.243E+00,1.800E+00,3.142E+00,-7.492E-04,2.378E+00,2.367E+00,6.450E-02,4.484E+00
