alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
10,0.000E+00,0.000E+00,3.177E-03,1.641E-03,0.000E+00,0.000E+00,0.000E+00,1.463E-03,9.300E-03,4.753E-01,1.706E+00,-3.110E-03,1.474E+00,1.766E+00,3.142E+00,-5.252E-03,2.472E+00,2.393E+00,5.887E-02,4.022E+00,1.622E+00,-6.271E-02,2.120E+00,1.952E+00,3.142E+00,-4.279E-03,2.918E+00,2.839E+00,1.073E-01,3.289E+00,1.770E+00,-6.329E-02,1.728E+00,1.506E+00,3.142E+00,-2.182E-03,2.419E+00,2.387E+00,4.013E-02,5.476E+00
11,0.000E+00,0.000E+00,3.218E-03,1.678E-03,0.000E+00,0.000E+00,0.000E+00,1.481E-03,9.416E-03,4.821E-01,1.713E+00,-1.474E-02,1.499E+00,1.768E+00,3.142E+00,-4.139E-03,2.447E+00,2.385E+00,5.892E-02,4.019E+00,1.625E+00,-6.728E-02,2.132E+00,1.952E+00,3.142E+00,-4.102E-03,2.913E+00,2.838E+00,1.067E-01,3.305E+00,1.770E+00,-7.066E-02,1.748E+00,1.525E+00,3.142E+00,-2.572E-03,2.437E+00,2.398E+00,4.005E-02,5.484E+00
12,0.000E+00,0.000E+00,3.258E-03,1.715E-03,0.000E+00,0.000E+00,0.000E+00,1.499E-03,9.531E-03,4.888E-01,1.720E+00,-2.637E-02,1.524E+00,1.770E+00,3.142E+00,-3.027E-03,2.422E+00,2.376E+00,5.897E-02,4.017E+00,1.628E+00,-7.185E-02,2.144E+00,1.952E+00,3.142E+00,-3.926E-03,2.908E+00,2.836E+00,1.061E-01,3.321E+00,1.770E+00,-7.803E-02,1.767E+00,1.545E+00,3.142E+00,-2.961E-03,2.454E+00,2.410E+00,3.996E-02,5.492E+00
13,0.000E+00,0.000E+00,3.299E-03,1.752E-03,0.000E+00,0.000E+00,0.000E+00,1.517E-03,9.647E-03,4.956E-01,1.727E+00,-3.800E-02,1.549E+00,1.772E+00,3.142E+00,-1.914E-03,2.398E+00,2.368E+00,5.902E-02,4.015E+00,1.630E+00,-7.641E-02,2.155E+00,1.952E+00,3.142E+00,-3.749E-03,2.903E+00,2.834E+00,1.055E-01,3.337E+00,1.770E+00,-8.540E-02,1.787E+00,1.564E+00,3.142E+00,-3.351E-03,2.472E+00,2.421E+00,3.988E-02,5.499E+00
14,0.000E+00,0.000E+00,3.319E-03,1.771E-03,0.000E+00,0.000E+00,0.000E+00,1.526E-03,9.705E-03,4.990E-01,1.730E+00,-4.382E-02,1.561E+00,1.773E+00,3.142E+00,-1.358E-03,2.386E+00,2.364E+00,5.904E-02,4.014E+00,1.632E+00,-7.870E-02,2.161E+00,1.952E+00,3.142E+00,-3.660E-03,2.901E+00,2.833E+00,1.052E-01,3.345E+00,1.770E+00,-8.908E-02,1.797E+00,1.574E+00,3.142E+00,-3.546E-03,2.481E+00,2.426E+00,3.983E-02,5.503E+00
15,0.000E+00,0.000E+00,3.340E-03,1.790E-03,0.000E+00,0.000E+00,0.000E+00,1.535E-03,9.763E-03,5.024E-01,1.733E+00,-4.964E-02,1.574E+00,1.773E+00,3.142E+00,-8.020E-04,2.373E+00,2.360E+00,5.907E-02,4.012E+00,1.633E+00,-8.098E-02,2.167E+00,1.952E+00,3.142E+00,-3.572E-03,2.898E+00,2.833E+00,1.049E-01,3.352E+00,1.770E+00,-9.277E-02,1.807E+00,1.583E+00,3.142E+00,-3.740E-03,2.489E+00,2.432E+00,3.979E-02,5.507E+00
16,0.000E+00,0.000E+00,3.381E-03,1.827E-03,0.000E+00,0.000E+00,0.000E+00,1.553E-03,9.879E-03,5.092E-01,1.740E+00,-6.127E-02,1.599E+00,1.775E+00,3.142E+00,3.105E-04,2.349E+00,2.351E+00,5.912E-02,4.010E+00,1.636E+00,-8.554E-02,2.179E+00,1.952E+00,3.142E+00,-3.395E-03,2.893E+00,2.831E+00,1.043E-01,3.368E+00,1.769E+00,-1.001E-01,1.826E+00,1.603E+00,3.142E+00,-4.130E-03,2.507E+00,2.443E+00,3.971E-02,5.515E+00
17,0.000E+00,0.000E+00,3.421E-03,1.864E-03,0.000E+00,0.000E+00,0.000E+00,1.571E-03,9.995E-03,5.159E-01,1.746E+00,-7.290E-02,1.624E+00,1.777E+00,3.142E+00,1.423E-03,2.324E+00,2.343E+00,5.917E-02,4.008E+00,1.638E+00,-9.011E-02,2.190E+00,1.952E+00,3.142E+00,-3.218E-03,2.888E+00,2.829E+00,1.037E-01,3.384E+00,1.769E+00,-1.075E-01,1.846E+00,1.622E+00,3.142E+00,-4.519E-03,2.524E+00,2.454E+00,3.962E-02,5.523E+00
18,0.000E+00,0.000E+00,3.462E-03,1.901E-03,0.000E+00,0.000E+00,0.000E+00,1.589E-03,1.011E-02,5.227E-01,1.752E+00,-8.453E-02,1.649E+00,1.779E+00,3.142E+00,2.536E-03,2.300E+00,2.334E+00,5.922E-02,4.005E+00,1.641E+00,-9.468E-02,2.202E+00,1.953E+00,3.142E+00,-3.041E-03,2.883E+00,2.827E+00,1.031E-01,3.400E+00,1.769E+00,-1.149E-01,1.865E+00,1.642E+00,3.142E+00,-4.909E-03,2.542E+00,2.465E+00,3.954E-02,5.531E+00
19,0.000E+00,0.000E+00,3.483E-03,1.920E-03,0.000E+00,0.000E+00,0.000E+00,1.597E-03,1.017E-02,5.261E-01,1.755E+00,-9.035E-02,1.661E+00,1.780E+00,3.142E+00,3.092E-03,2.287E+00,2.330E+00,5.925E-02,4.004E+00,1.642E+00,-9.696E-02,2.208E+00,1.953E+00,3.142E+00,-2.953E-03,2.880E+00,2.826E+00,1.028E-01,3.408E+00,1.769E+00,-1.186E-01,1.875E+00,1.651E+00,3.142E+00,-5.104E-03,2.550E+00,2.471E+00,3.950E-02,5.535E+00
