alpha,H,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
71,0.000E+00,1.661E-02,0.000E+00,0.000E+00,0.000E+00,8.594E-06,1.669E-02,4.985E-02,2.194E+00,1.463E+00,-1.014E+00,4.643E+01,2.581E+00,3.142E+00,-3.310E-03,2.708E+00,2.652E+00,4.395E-02,4.907E+00,1.480E+00,-6.481E-01,1.889E+01,2.150E+00,3.142E+00,4.380E-04,2.670E+00,2.677E+00,9.705E-02,3.577E+00,1.470E+00,-8.799E-01,3.286E+01,2.428E+00,3.142E+00,-4.090E-03,2.647E+00,2.580E+00,4.464E-02,5.907E+00
72,0.000E+00,1.747E-02,0.000E+00,0.000E+00,0.000E+00,1.016E-05,1.761E-02,5.255E-02,2.311E+00,1.437E+00,-9.943E-01,4.451E+01,2.703E+00,3.142E+00,-1.559E-03,2.635E+00,2.609E+00,4.344E-02,4.945E+00,1.450E+00,-6.379E-01,1.844E+01,2.294E+00,3.142E+00,1.270E-04,2.681E+00,2.683E+00,9.697E-02,3.579E+00,1.421E+00,-8.618E-01,3.188E+01,2.678E+00,3.142E+00,-2.693E-03,2.579E+00,2.536E+00,4.534E-02,5.839E+00
73,0.000E+00,1.850E-02,0.000E+00,0.000E+00,0.000E+00,1.563E-05,1.858E-02,5.545E-02,2.442E+00,1.390E+00,-9.913E-01,4.659E+01,2.940E+00,3.142E+00,-2.136E-03,2.712E+00,2.676E+00,4.256E-02,5.014E+00,1.427E+00,-6.315E-01,1.836E+01,2.409E+00,3.142E+00,1.789E-03,2.610E+00,2.639E+00,9.590E-02,3.613E+00,1.374E+00,-8.687E-01,3.710E+01,2.848E+00,3.142E+00,4.175E-03,2.457E+00,2.518E+00,4.425E-02,5.946E+00
74,0.000E+00,1.953E-02,0.000E+00,0.000E+00,0.000E+00,2.109E-05,1.955E-02,5.835E-02,2.573E+00,1.348E+00,-9.882E-01,4.867E+01,3.177E+00,3.142E+00,-2.713E-03,2.790E+00,2.742E+00,4.169E-02,5.082E+00,1.404E+00,-6.252E-01,1.829E+01,2.525E+00,3.142E+00,3.451E-03,2.539E+00,2.595E+00,9.484E-02,3.646E+00,1.333E+00,-8.757E-01,4.231E+01,3.018E+00,3.142E+00,1.104E-02,2.334E+00,2.499E+00,4.316E-02,6.054E+00
75,0.000E+00,2.063E-02,0.000E+00,0.000E+00,0.000E+00,2.070E-05,2.066E-02,6.181E-02,2.721E+00,1.288E+00,-9.814E-01,5.057E+01,3.575E+00,3.142E+00,-1.766E-03,2.681E+00,2.651E+00,4.163E-02,5.087E+00,1.371E+00,-6.085E-01,1.734E+01,2.744E+00,3.142E+00,2.365E-03,2.541E+00,2.579E+00,9.337E-02,3.695E+00,1.306E+00,-8.554E-01,3.716E+01,3.277E+00,3.142E+00,1.153E-02,2.296E+00,2.464E+00,4.223E-02,6.152E+00
76,0.000E+00,2.172E-02,0.000E+00,0.000E+00,0.000E+00,2.031E-05,2.177E-02,6.528E-02,2.869E+00,1.235E+00,-9.746E-01,5.247E+01,3.973E+00,3.142E+00,-8.187E-04,2.573E+00,2.560E+00,4.157E-02,5.091E+00,1.341E+00,-5.918E-01,1.639E+01,2.964E+00,3.142E+00,1.279E-03,2.543E+00,2.564E+00,9.191E-02,3.743E+00,1.287E+00,-8.351E-01,3.200E+01,3.535E+00,3.142E+00,1.201E-02,2.257E+00,2.430E+00,4.131E-02,6.250E+00
77,0.000E+00,2.289E-02,0.000E+00,0.000E+00,0.000E+00,3.086E-05,2.283E-02,6.858E-02,3.017E+00,1.182E+00,-9.599E-01,4.833E+01,4.562E+00,3.142E+00,4.931E-03,2.492E+00,2.568E+00,4.057E-02,5.175E+00,1.313E+00,-5.862E-01,1.641E+01,3.165E+00,3.142E+00,4.761E-03,2.430E+00,2.500E+00,9.327E-02,3.698E+00,1.214E+00,-8.054E-01,2.920E+01,4.244E+00,3.142E+00,8.252E-03,2.316E+00,2.435E+00,4.053E-02,6.338E+00
78,0.000E+00,2.405E-02,0.000E+00,0.000E+00,0.000E+00,4.141E-05,2.389E-02,7.187E-02,3.165E+00,1.141E+00,-9.451E-01,4.418E+01,5.152E+00,3.142E+00,1.068E-02,2.410E+00,2.576E+00,3.956E-02,5.260E+00,1.286E+00,-5.806E-01,1.643E+01,3.366E+00,3.142E+00,8.244E-03,2.317E+00,2.437E+00,9.463E-02,3.653E+00,1.160E+00,-7.758E-01,2.640E+01,4.952E+00,3.142E+00,4.496E-03,2.374E+00,2.440E+00,3.974E-02,6.426E+00
79,0.000E+00,2.487E-02,0.000E+00,0.000E+00,1.172E-06,4.922E-05,2.474E-02,7.444E-02,3.276E+00,1.066E+00,-9.248E-01,4.118E+01,6.352E+00,3.142E+00,1.289E-02,2.364E+00,2.560E+00,3.797E-02,5.408E+00,1.251E+00,-5.676E-01,1.560E+01,3.730E+00,3.142E+00,8.764E-03,2.246E+00,2.369E+00,9.340E-02,3.694E+00,1.117E+00,-7.726E-01,2.702E+01,5.500E+00,3.142E+00,5.806E-03,2.315E+00,2.398E+00,3.816E-02,6.624E+00
80,0.000E+00,2.569E-02,0.000E+00,0.000E+00,2.344E-06,5.703E-05,2.559E-02,7.701E-02,3.386E+00,1.010E+00,-9.045E-01,3.818E+01,7.553E+00,3.142E+00,1.511E-02,2.318E+00,2.545E+00,3.637E-02,5.556E+00,1.222E+00,-5.545E-01,1.478E+01,4.093E+00,3.142E+00,9.283E-03,2.175E+00,2.301E+00,9.217E-02,3.734E+00,1.079E+00,-7.695E-01,2.765E+01,6.047E+00,3.142E+00,7.117E-03,2.256E+00,2.356E+00,3.657E-02,6.822E+00
81,0.000E+00,2.571E-02,0.000E+00,0.000E+00,3.047E-05,1.453E-04,2.573E-02,7.718E-02,3.397E+00,8.930E-01,-8.700E-01,3.352E+01,1.151E+01,3.142E+00,2.873E-02,2.130E+00,2.534E+00,3.683E-02,5.511E+00,1.166E+00,-5.409E-01,1.423E+01,4.830E+00,3.142E+00,2.050E-02,1.988E+00,2.240E+00,8.899E-02,3.848E+00,1.019E+00,-7.581E-01,2.611E+01,7.401E+00,3.142E+00,2.613E-02,2.005E+00,2.331E+00,3.733E-02,6.724E+00
82,0.000E+00,2.573E-02,0.000E+00,0.000E+00,5.859E-05,2.336E-04,2.587E-02,7.734E-02,3.408E+00,8.317E-01,-8.355E-01,2.886E+01,1.548E+01,3.142E+00,4.236E-02,1.943E+00,2.523E+00,3.730E-02,5.465E+00,1.122E+00,-5.273E-01,1.368E+01,5.567E+00,3.142E+00,3.172E-02,1.800E+00,2.179E+00,8.582E-02,3.962E+00,9.752E-01,-7.467E-01,2.457E+01,8.755E+00,3.142E+00,4.514E-02,1.754E+00,2.306E+00,3.809E-02,6.625E+00
83,0.000E+00,2.349E-02,0.000E+00,0.000E+00,5.313E-05,2.246E-04,2.357E-02,7.041E-02,3.107E+00,7.527E-01,-7.934E-01,2.385E+01,2.494E+01,3.142E+00,5.583E-02,1.763E+00,2.470E+00,3.322E-02,5.930E+00,1.035E+00,-5.166E-01,1.346E+01,7.441E+00,3.142E+00,6.037E-02,1.489E+00,2.100E+00,8.399E-02,4.034E+00,8.606E-01,-7.133E-01,2.112E+01,1.450E+01,3.142E+00,6.707E-02,1.516E+00,2.253E+00,3.390E-02,7.259E+00
84,0.000E+00,2.125E-02,0.000E+00,0.000E+00,4.766E-05,2.156E-04,2.127E-02,6.347E-02,2.806E+00,7.296E-01,-7.512E-01,1.885E+01,3.440E+01,3.142E+00,6.931E-02,1.582E+00,2.417E+00,2.913E-02,6.394E+00,9.747E-01,-5.059E-01,1.324E+01,9.316E+00,3.142E+00,8.901E-02,1.178E+00,2.021E+00,8.216E-02,4.107E+00,8.130E-01,-6.798E-01,1.767E+01,2.024E+01,3.142E+00,8.901E-02,1.278E+00,2.200E+00,2.971E-02,7.894E+00
85,0.000E+00,1.474E-02,0.000E+00,0.000E+00,9.766E-05,2.668E-04,1.477E-02,4.414E-02,1.954E+00,6.742E-01,-7.151E-01,1.518E+01,6.743E+01,3.142E+00,7.916E-02,1.446E+00,2.313E+00,2.444E-02,7.233E+00,9.119E-01,-4.805E-01,1.121E+01,1.365E+01,3.142E+00,8.901E-02,1.046E+00,1.779E+00,7.673E-02,4.359E+00,7.425E-01,-6.448E-01,1.407E+01,3.832E+01,3.142E+00,8.901E-02,1.157E+00,1.966E+00,2.692E-02,8.495E+00
