alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
36.0,0.0,0.0,0.005200866699218751,0.0023196411132812497,0.0,0.0,1.708984375e-06,0.002847167968749956,0.015300720214843695,0.7826132611616357,1.8113885043405062,-0.2886424422083187,2.838081258730297,1.5528406459806399,8.283185307179584,0.1865343749446565,1.0,1.0,0.05722135329026298,4.102259608603742,1.6550204100052373,-0.15488458328891025,2.283185632876209,2.135932121098675,8.283185307179584,0.1357668908081895,1.0,1.0,0.1017424737336047,3.43859296374605,1.7947426078067452,-0.36162350097625207,3.6032060582836234,1.5759010369772726,8.283185307179584,0.2139988169594334,1.0,1.0,0.03737111199093686,5.74544173960696
37.0,0.0,0.0,0.0053217773437500004,0.00234619140625,0.0,0.0,1.953125e-06,0.00294042968749995,0.01569091796874995,0.8013822959891622,1.8106599096763571,-0.2982263317067482,2.8885041193518424,1.5661274037438224,8.283185307179584,0.19363075030063143,1.0,1.0,0.05712117499991791,4.1072474160082475,1.6547640541313922,-0.15853877157999097,2.298106065931083,2.1449355438041913,8.283185307179584,0.1392169506341495,1.0,1.0,0.10160617500593377,3.442464061449107,1.7886308820269892,-0.36608336164263067,3.6201011553327183,1.6096622654338395,8.283185307179584,0.22083281078399208,1.0,1.0,0.03722728142554378,5.760212864820662
38.0,0.0,0.0,0.00544268798828125,0.00237274169921875,0.0,0.0,2.1972656250000003e-06,0.0030336914062499437,0.016081115722656206,0.8201513308166888,1.8099583514915485,-0.30781022120517776,2.9389269799733877,1.579414161507005,8.283185307179584,0.20072712565660636,1.0,1.0,0.057020996709572835,4.112235223412753,1.6545099505972867,-0.16219295987107168,2.3130264989859572,2.1539389665097075,8.283185307179584,0.1426670104601095,1.0,1.0,0.10146987627826284,3.446335159152164,1.78265048595645,-0.37054322230900927,3.636996252381813,1.6434234938904064,8.283185307179584,0.22766680460855077,1.0,1.0,0.037083450860150705,5.774983990034364
39.0,0.0,0.0,0.005563598632812501,0.0023992919921875,0.0,0.0,2.44140625e-06,0.0031269531249999375,0.016471313476562464,0.8389203656442155,1.8092802883240198,-0.31739411070360735,2.989349840594933,1.5927009192701873,8.283185307179584,0.2078235010125813,1.0,1.0,0.05692081841922777,4.117223030817258,1.6542579748450335,-0.1658471481621524,2.327946932040832,2.1629423892152237,8.283185307179584,0.14611707028606952,1.0,1.0,0.10133357755059191,3.450206256855221,1.7767960983837652,-0.37500308297538787,3.6538913494309075,1.6771847223469734,8.283185307179584,0.23450079843310945,1.0,1.0,0.03693962029475762,5.789755115248065
40.0,0.0,0.0,0.005684509277343751,0.0024258422851562503,0.0,0.0,2.685546875e-06,0.0032202148437499314,0.01686151123046872,0.857689400471742,1.8086222828996934,-0.32697800020203693,3.039772701216478,1.6059876770333696,8.283185307179584,0.21491987636855622,1.0,1.0,0.0568206401288827,4.122210838221763,1.6540080025182315,-0.16950133645323312,2.342867365095706,2.17194581192074,8.283185307179584,0.14956713011202954,1.0,1.0,0.10119727882292098,3.454077354558278,1.771062650427531,-0.37946294364176647,3.670786446480002,1.7109459508035403,8.283185307179584,0.24133479225766813,1.0,1.0,0.036795789729364536,5.804526240461767
41.0,0.0,0.0,0.005805419921875001,0.002452392578125,0.0,0.0,2.9296875e-06,0.003313476562499925,0.017251708984374975,0.8764584352992686,1.8079809961099618,-0.3365618897004665,3.0901955618380232,1.619274434796552,8.283185307179584,0.22201625172453116,1.0,1.0,0.05672046183853763,4.127198645626269,1.6537599094735875,-0.1731555247443138,2.3577877981505804,2.1809492346262562,8.283185307179584,0.15301718993798957,1.0,1.0,0.10106098009525005,3.457948452261335,1.765445310189593,-0.383922804308145,3.687681543529097,1.7447071792601072,8.283185307179584,0.2481687860822268,1.0,1.0,0.03665195916397146,5.819297365675468
42.0,0.0,0.0,0.0059263305664062505,0.0024789428710937497,0.0,0.0,3.1738281250000003e-06,0.003406738281249919,0.01764190673828123,0.8952274701267952,1.8073531813883132,-0.3461457791988961,3.1406184224595686,1.6325611925597343,8.283185307179584,0.2291126270805061,1.0,1.0,0.05662028354819256,4.132186453030775,1.6535135717926481,-0.1768097130353945,2.372708231205455,2.1899526573317725,8.283185307179584,0.1564672497639496,1.0,1.0,0.10092468136757912,3.461819549964392,1.7599394686125218,-0.38838266497452356,3.7045766405781912,1.7784684077166741,8.283185307179584,0.2550027799067855,1.0,1.0,0.036508128598578375,5.83406849088917
43.0,0.0,0.0,0.0060472412109375,0.0025054931640625,0.0,0.0,3.41796875e-06,0.003499999999999913,0.018032104492187485,0.9139965049543217,1.8067356794699792,-0.35572966869732564,3.1910412830811135,1.6458479503229169,8.283185307179584,0.23620900243648102,1.0,1.0,0.056520105257847494,4.1371742604352795,1.6532688657934962,-0.18046390132647522,2.3876286642603293,2.1989560800372887,8.283185307179584,0.1599173095899096,1.0,1.0,0.10078838263990819,3.465690647667449,1.7545407263014319,-0.39284252564090216,3.7214717376272857,1.812229636173241,8.283185307179584,0.2618367737313442,1.0,1.0,0.03636429803318529,5.848839616102872
44.0,0.0,0.0,0.00616815185546875,0.00253204345703125,0.0,0.0,3.662109375e-06,0.0035932617187499063,0.018422302246093744,0.9327655397818484,1.8061254135081892,-0.3653135581957552,3.241464143702659,1.6591347080860994,8.283185307179584,0.24330537779245595,1.0,1.0,0.05641992696750242,4.142162067839784,1.6530256680423006,-0.18411808961755594,2.4025490973152035,2.2079595027428054,8.283185307179584,0.1633673694158696,1.0,1.0,0.10065208391223726,3.4695617453705063,1.7492448812845778,-0.39730238630728076,3.7383668346763805,1.845990864629808,8.283185307179584,0.26867076755590286,1.0,1.0,0.036220467467792214,5.863610741316573
45.0,0.0,0.0,0.0062890625,0.00255859375,0.0,0.0,3.90625e-06,0.0036865234374999,0.0188125,0.951534574609375,1.8055193845878845,-0.37489744769418476,3.291887004324204,1.6724214658492818,8.283185307179584,0.2504017531484309,1.0,1.0,0.056319748677157354,4.14714987524429,1.65278385536462,-0.18777227790863665,2.417469530370078,2.2169629254483216,8.283185307179584,0.16681742924182963,1.0,1.0,0.10051578518456632,3.4734328430735633,1.7440479176556574,-0.40176224697365936,3.755261931725475,1.879752093086375,8.283185307179584,0.27550476138046154,1.0,1.0,0.03607663690239913,5.878381866530274
