alpha,He,Mn,S,Mn_1,S_1,amu/ion,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,energyK_Mn,energyE_Mn,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
63,0.000E+00,3.493E-02,5.859E-07,2.458E-01,2.809E-01,2.443E+01,1.701E+00,-4.676E-01,8.210E+00,1.429E+00,3.142E+00,1.030E-03,2.376E+00,2.390E+00,1.405E-01,3.060E+00,1.653E+00,-3.370E-01,5.280E+00,1.654E+00,3.142E+00,2.059E-04,2.499E+00,2.502E+00,1.472E-01,3.014E+00
64,0.000E+00,3.564E-02,6.836E-07,2.518E-01,2.876E-01,2.501E+01,1.706E+00,-4.793E-01,8.665E+00,1.398E+00,3.142E+00,7.063E-04,2.379E+00,2.390E+00,1.401E-01,3.067E+00,1.654E+00,-3.507E-01,5.600E+00,1.629E+00,3.142E+00,-5.680E-04,2.517E+00,2.508E+00,1.471E-01,3.017E+00
65,0.000E+00,3.634E-02,7.812E-07,2.578E-01,2.944E-01,2.560E+01,1.712E+00,-4.910E-01,9.121E+00,1.368E+00,3.142E+00,3.825E-04,2.383E+00,2.389E+00,1.397E-01,3.074E+00,1.656E+00,-3.643E-01,5.920E+00,1.605E+00,3.142E+00,-1.342E-03,2.534E+00,2.513E+00,1.469E-01,3.019E+00
66,0.000E+00,3.830E-02,9.766E-07,2.739E-01,3.124E-01,2.717E+01,1.685E+00,-4.913E-01,9.404E+00,1.435E+00,3.142E+00,1.742E-03,2.344E+00,2.368E+00,1.401E-01,3.066E+00,1.642E+00,-3.739E-01,6.284E+00,1.629E+00,3.142E+00,-6.473E-04,2.513E+00,2.503E+00,1.460E-01,3.037E+00
67,0.000E+00,4.025E-02,1.172E-06,2.900E-01,3.304E-01,2.874E+01,1.660E+00,-4.917E-01,9.688E+00,1.503E+00,3.142E+00,3.102E-03,2.305E+00,2.348E+00,1.405E-01,3.058E+00,1.630E+00,-3.835E-01,6.648E+00,1.652E+00,3.142E+00,4.728E-05,2.492E+00,2.492E+00,1.451E-01,3.055E+00
68,0.000E+00,4.220E-02,1.367E-06,3.062E-01,3.484E-01,3.031E+01,1.635E+00,-4.920E-01,9.971E+00,1.570E+00,3.142E+00,4.462E-03,2.266E+00,2.327E+00,1.409E-01,3.051E+00,1.618E+00,-3.931E-01,7.011E+00,1.676E+00,3.142E+00,7.418E-04,2.471E+00,2.482E+00,1.442E-01,3.073E+00
69,0.000E+00,4.318E-02,1.465E-06,3.142E-01,3.574E-01,3.110E+01,1.623E+00,-4.922E-01,1.011E+01,1.604E+00,3.142E+00,5.142E-03,2.246E+00,2.317E+00,1.411E-01,3.047E+00,1.613E+00,-3.978E-01,7.193E+00,1.688E+00,3.142E+00,1.089E-03,2.460E+00,2.476E+00,1.438E-01,3.082E+00
70,0.000E+00,4.416E-02,1.562E-06,3.223E-01,3.664E-01,3.188E+01,1.612E+00,-4.924E-01,1.025E+01,1.638E+00,3.142E+00,5.822E-03,2.226E+00,2.306E+00,1.413E-01,3.043E+00,1.608E+00,-4.026E-01,7.375E+00,1.699E+00,3.142E+00,1.436E-03,2.449E+00,2.471E+00,1.433E-01,3.091E+00
71,0.000E+00,4.535E-02,1.953E-06,3.378E-01,3.831E-01,3.333E+01,1.591E+00,-4.602E-01,9.237E+00,1.725E+00,3.142E+00,4.373E-03,2.256E+00,2.316E+00,1.392E-01,3.085E+00,1.604E+00,-3.864E-01,7.009E+00,1.716E+00,3.142E+00,2.992E-03,2.433E+00,2.478E+00,1.459E-01,3.041E+00
72,0.000E+00,4.655E-02,2.344E-06,3.533E-01,3.998E-01,3.478E+01,1.575E+00,-4.279E-01,8.221E+00,1.812E+00,3.142E+00,2.925E-03,2.286E+00,2.327E+00,1.372E-01,3.127E+00,1.601E+00,-3.702E-01,6.643E+00,1.733E+00,3.142E+00,4.547E-03,2.416E+00,2.484E+00,1.484E-01,2.990E+00
