alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
64,0.000E+00,0.000E+00,1.207E-01,2.562E-03,0.000E+00,0.000E+00,1.050E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.651E+00,-5.184E-01,6.238E+00,2.084E+00,1.110E-01,2.547E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.479E+00,-1.608E-01,2.966E+00,2.926E+00,1.397E-01,2.376E+00
65,0.000E+00,0.000E+00,1.242E-01,2.678E-03,0.000E+00,0.000E+00,1.081E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.641E+00,-5.263E-01,6.429E+00,2.126E+00,1.106E-01,2.555E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.472E+00,-2.037E-01,3.547E+00,2.817E+00,1.356E-01,2.433E+00
66,0.000E+00,0.000E+00,1.278E-01,2.795E-03,0.000E+00,0.000E+00,1.112E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.631E+00,-5.341E-01,6.619E+00,2.168E+00,1.102E-01,2.562E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.474E+00,-2.465E-01,4.129E+00,2.708E+00,1.315E-01,2.491E+00
67,0.000E+00,0.000E+00,1.359E-01,3.096E-03,0.000E+00,0.000E+00,1.183E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.619E+00,-5.703E-01,7.784E+00,2.146E+00,1.081E-01,2.599E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.499E+00,-2.822E-01,4.508E+00,2.532E+00,1.300E-01,2.513E+00
68,0.000E+00,0.000E+00,1.400E-01,3.246E-03,0.000E+00,0.000E+00,1.219E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.616E+00,-5.885E-01,8.366E+00,2.134E+00,1.071E-01,2.618E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.514E+00,-3.000E-01,4.697E+00,2.445E+00,1.293E-01,2.524E+00
69,0.000E+00,0.000E+00,1.441E-01,3.396E-03,0.000E+00,0.000E+00,1.254E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.614E+00,-6.066E-01,8.948E+00,2.123E+00,1.061E-01,2.636E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.529E+00,-3.178E-01,4.887E+00,2.357E+00,1.286E-01,2.536E+00
70,0.000E+00,0.000E+00,1.525E-01,3.670E-03,0.000E+00,4.883E-07,1.327E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.587E+00,-6.381E-01,1.079E+01,2.150E+00,1.042E-01,2.673E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.475E+00,-3.132E-01,5.191E+00,2.596E+00,1.243E-01,2.608E+00
71,0.000E+00,0.000E+00,1.567E-01,3.807E-03,0.000E+00,7.324E-07,1.364E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.577E+00,-6.538E-01,1.171E+01,2.164E+00,1.033E-01,2.691E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.450E+00,-3.109E-01,5.344E+00,2.715E+00,1.222E-01,2.645E+00
72,0.000E+00,0.000E+00,1.609E-01,3.943E-03,0.000E+00,9.766E-07,1.401E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.568E+00,-6.696E-01,1.263E+01,2.178E+00,1.023E-01,2.709E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.426E+00,-3.086E-01,5.496E+00,2.835E+00,1.200E-01,2.681E+00
73,0.000E+00,0.000E+00,1.675E-01,4.253E-03,0.000E+00,4.883E-07,1.458E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.539E+00,-7.057E-01,1.613E+01,2.189E+00,1.003E-01,2.750E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.438E+00,-3.466E-01,6.160E+00,2.717E+00,1.284E-01,2.546E+00
