alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
30,0.000E+00,0.000E+00,7.009E-03,1.467E-02,3.926E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.077E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.793E+00,-2.184E-01,2.538E+00,1.525E+00,5.876E-02,4.111E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.776E+00,-1.986E-01,2.350E+00,1.629E+00,7.487E-02,3.393E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.487E+00,1.639E-02,1.577E+00,3.470E+00,1.691E-01,2.025E+00
31,0.000E+00,0.000E+00,7.432E-03,1.549E-02,4.390E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.194E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.795E+00,-2.374E-01,2.654E+00,1.529E+00,5.839E-02,4.130E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.775E+00,-2.216E-01,2.516E+00,1.630E+00,7.480E-02,3.395E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.478E+00,4.393E-03,1.666E+00,3.349E+00,1.676E-01,2.041E+00
32,0.000E+00,0.000E+00,7.643E-03,1.590E-02,4.622E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.252E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.796E+00,-2.469E-01,2.713E+00,1.531E+00,5.820E-02,4.140E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.775E+00,-2.331E-01,2.599E+00,1.630E+00,7.476E-02,3.396E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.476E+00,-1.603E-03,1.711E+00,3.289E+00,1.669E-01,2.049E+00
33,0.000E+00,0.000E+00,7.855E-03,1.631E-02,4.854E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.311E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.797E+00,-2.564E-01,2.771E+00,1.532E+00,5.802E-02,4.149E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.775E+00,-2.446E-01,2.682E+00,1.630E+00,7.473E-02,3.398E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.479E+00,-7.599E-03,1.756E+00,3.229E+00,1.661E-01,2.058E+00
34,0.000E+00,0.000E+00,8.066E-03,1.672E-02,5.085E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.370E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.799E+00,-2.659E-01,2.829E+00,1.534E+00,5.783E-02,4.159E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.775E+00,-2.561E-01,2.765E+00,1.631E+00,7.469E-02,3.399E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.482E+00,-1.360E-02,1.801E+00,3.168E+00,1.653E-01,2.066E+00
35,0.000E+00,0.000E+00,8.278E-03,1.713E-02,5.317E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.428E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.800E+00,-2.755E-01,2.888E+00,1.536E+00,5.765E-02,4.168E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.776E+00,-2.676E-01,2.848E+00,1.631E+00,7.465E-02,3.400E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.485E+00,-1.959E-02,1.846E+00,3.108E+00,1.646E-01,2.074E+00
36,0.000E+00,0.000E+00,8.489E-03,1.754E-02,5.549E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.487E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.801E+00,-2.850E-01,2.946E+00,1.538E+00,5.746E-02,4.178E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.777E+00,-2.791E-01,2.931E+00,1.631E+00,7.462E-02,3.401E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.489E+00,-2.559E-02,1.890E+00,3.047E+00,1.638E-01,2.082E+00
37,0.000E+00,0.000E+00,8.701E-03,1.795E-02,5.781E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.545E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.803E+00,-2.945E-01,3.004E+00,1.540E+00,5.727E-02,4.187E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.778E+00,-2.906E-01,3.014E+00,1.632E+00,7.458E-02,3.402E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.493E+00,-3.158E-02,1.935E+00,2.987E+00,1.631E-01,2.090E+00
38,0.000E+00,0.000E+00,8.912E-03,1.836E-02,6.013E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.604E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.804E+00,-3.040E-01,3.063E+00,1.542E+00,5.709E-02,4.197E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E+00,-3.021E-01,3.097E+00,1.632E+00,7.454E-02,3.404E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.497E+00,-3.758E-02,1.980E+00,2.927E+00,1.623E-01,2.098E+00
39,0.000E+00,0.000E+00,9.124E-03,1.878E-02,6.245E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.663E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.806E+00,-3.135E-01,3.121E+00,1.544E+00,5.690E-02,4.206E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.780E+00,-3.136E-01,3.179E+00,1.632E+00,7.451E-02,3.405E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.502E+00,-4.358E-02,2.025E+00,2.866E+00,1.615E-01,2.106E+00
