alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
27.0,0.0,0.0,0.0067539062499999995,0.014124755859375,0.00038061523437500004,0.0,0.0,0.0,0.0,2.0010550065267854,1.795504839471365,-0.20207851699334783,2.446012748255651,1.5014163156660105,8.283185307179584,0.11958292339449902,1.0,1.0,0.05856780964146199,4.120922032528204,1.7712825985411853,-0.17386049082397298,2.1984137849734005,1.645192939763272,8.283185307179584,0.11921940138631636,1.0,1.0,0.07497708088012134,3.389381478907283,1.531470044075405,-0.016734691808659365,1.84944496846237,2.612488083498877,8.43707946690125,0.047235340110908616,1.3398922449736874,1.3971729521916978,0.16772334456514457,2.0398008117057254
28.0,0.0,0.0,0.00688134765625,0.0143963623046875,0.00038659667968750003,0.0,0.0,0.0,0.0,2.0388669731359093,1.7963567264418092,-0.21023598080418282,2.488875805001024,1.505867052322246,8.283185307179584,0.12545003673694605,1.0,1.0,0.058665253845718995,4.116085288050018,1.7680016176296172,-0.18294775298681223,2.245232944908749,1.6682913755159379,8.283185307179584,0.12685033088242093,1.0,1.0,0.0749243692693137,3.391091213032029,1.5273212648409422,-0.010005321271255026,1.775831090449036,2.706148614364305,8.465393757209648,0.04820565785757834,1.3826997555442904,1.4463238823710967,0.16843300955595664,2.032535966796753
29.0,0.0,0.0,0.006945068359375,0.01453216552734375,0.00038958740234375005,0.0,0.0,0.0,0.0,2.0577729564404708,1.7967975321390783,-0.2143147127096003,2.51030733337371,1.5080924206503639,8.283185307179584,0.12838359340816957,1.0,1.0,0.058713975947847497,4.113666915810924,1.766397335459799,-0.18749138406823185,2.268642524876423,1.6798405933922707,8.283185307179584,0.1306657956304732,1.0,1.0,0.0748980134639099,3.391946080094402,1.5256127356276121,-0.006640636002552857,1.739024151442369,2.752978879797019,8.480392851163064,0.0486908167309132,1.404103510829592,1.4708993474607963,0.16878784205136266,2.028903544342267
30.0,0.0,0.0,0.0070087890625,0.01466796875,0.000392578125,0.0,0.0,0.0,0.0,2.0766789397450327,1.7972477823111048,-0.2183934446150178,2.5317388617463967,1.5103177889784816,8.283185307179584,0.13131715007939307,1.0,1.0,0.058762698049976005,4.111248543571832,1.7648163219608755,-0.1920350151496515,2.2920521048440974,1.6913898112686034,8.283185307179584,0.1344812603785255,1.0,1.0,0.07487165765850608,3.3928009471567755,1.5241484407816581,-0.003275950733850689,1.7022172124357018,2.7998091452297325,8.49594451900635,0.04917597560424807,1.4255072661148935,1.4954748125504957,0.16914267454676868,2.0252711218877812
31.0,0.0,0.0,0.0074317626953125,0.015489501953125,0.00043896484375,0.0,0.0,0.0,0.0,2.193866833299831,1.8008933386466468,-0.23945578122498587,2.6751437148905985,1.5015346202786062,8.283185307179584,0.1436609212794524,1.0,1.0,0.058390566382788334,4.130282793582277,1.7644521246597467,-0.21529211454452532,2.4567884334421444,1.6873525599399335,8.283185307179584,0.14730143855227124,1.0,1.0,0.07479867790881808,3.395193456731443,1.517405148204428,-0.008122375426398173,1.7368055733901229,2.85111665111174,8.460964376060161,0.052960354706505716,1.4035761955303057,1.462524543415153,0.16761968569033053,2.0414225942200375
32.0,0.0,0.0,0.00764324951171875,0.0159002685546875,0.00046215820312500006,0.0,0.0,0.0,0.0,2.2524607800772296,1.8029935983340122,-0.24998694952996992,2.7468461414626995,1.4971430359286684,8.283185307179584,0.14983280687948208,1.0,1.0,0.0582045005491945,4.1397999185874985,1.7647158280052269,-0.22692066424196222,2.539156597741168,1.6853339342755986,8.283185307179584,0.15371152763914409,1.0,1.0,0.07476218803397408,3.3963897115187764,1.5140989509841933,-0.010545587772671915,1.7540997538673333,2.8767704040527433,8.443752160653435,0.05485254425763454,1.3926106602380117,1.4460494088474818,0.16685819126211146,2.049498330386166
33.0,0.0,0.0,0.007854736328125,0.01631103515625,0.00048535156250000005,0.0,0.0,0.0,0.0,2.3110547268546284,1.805263163087704,-0.26051811783495393,2.8185485680348004,1.4927514515787306,8.283185307179584,0.15600469247951176,1.0,1.0,0.05801843471560067,4.1493170435927205,1.765246625247282,-0.23854921393939915,2.6215247620401914,1.6833153086112635,8.283185307179584,0.16012161672601694,1.0,1.0,0.07472569815913008,3.39758596630611,1.5108351444093007,-0.012968800118945656,1.7713939343445437,2.902424156993747,8.426725549095423,0.05674473380876337,1.3816451249457178,1.4295742742798105,0.1660966968338924,2.057574066552294
34.0,0.0,0.0,0.00806622314453125,0.0167218017578125,0.000508544921875,0.0,0.0,0.0,0.0,2.3696486736320272,1.8076912070593603,-0.27104928613993795,2.8902509946069013,1.4883598672287928,8.283185307179584,0.16217657807954144,1.0,1.0,0.05783236888200684,4.158834168597942,1.766024219914923,-0.2501777636368361,2.703892926339215,1.6812966829469285,8.283185307179584,0.16653170581288979,1.0,1.0,0.07468920828428607,3.3987822210934437,1.5076128803943811,-0.015392012465219398,1.7886881148217542,2.9280779099347507,8.409884840854911,0.05863692335989219,1.3706795896534238,1.413099139712139,0.16533520240567331,2.065649802718422
35.0,0.0,0.0,0.0082777099609375,0.017132568359375,0.0005317382812500001,0.0,0.0,0.0,0.0,2.4282426204094265,1.8102675707944762,-0.28158045444492197,2.961953421179002,1.483968282878855,8.283185307179584,0.16834846367957113,1.0,1.0,0.057646303048413006,4.168351293603164,1.7670299013783386,-0.26180631333427296,2.7862610906382383,1.6792780572825936,8.283185307179584,0.17294179489976266,1.0,1.0,0.07465271840944208,3.3999784758807774,1.5044313578047088,-0.01781522481149314,1.8059822952989646,2.953731662875754,8.393230355521979,0.06052911291102101,1.35971405436113,1.3966240051444678,0.16457370797745424,2.0737255388845504
36.0,0.0,0.0,0.00848919677734375,0.017543334960937497,0.0005549316406250001,0.0,0.0,0.0,0.0,2.4868365671868258,1.812982700680975,-0.292111622749906,3.033655847751103,1.4795766985289172,8.283185307179584,0.1745203492796008,1.0,1.0,0.057460237214819174,4.177868418608386,1.7682463728021183,-0.2734348630317099,2.868629254937262,1.6772594316182587,8.283185307179584,0.17935188398663554,1.0,1.0,0.0746162285345981,3.401174730668111,1.5012898130822865,-0.02023843715776688,1.8232764757761752,2.9793854158167576,8.376762433177817,0.06242130246214983,1.348748519068836,1.3801488705767966,0.1638122135492352,2.0818012750506787
37.0,0.0,0.0,0.00870068359375,0.017954101562499998,0.0005781250000000001,0.0,0.0,0.0,0.0,2.5454305139642246,1.8158275945365956,-0.30264279105489,3.105358274323204,1.4751851141789794,8.283185307179584,0.1806922348796305,1.0,1.0,0.057274171381225335,4.187385543613608,1.7696576001912296,-0.2850634127291468,2.9509974192362853,1.6752408059539237,8.283185307179584,0.1857619730735084,1.0,1.0,0.07457973865975409,3.402370985455445,1.4981875138568077,-0.022661649504040624,1.8405706562533857,3.0050391687577616,8.360481434775627,0.06431349201327866,1.337782983776542,1.3636737360091251,0.16305071912101612,2.0898770112168066
