alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
31.0,0.0,0.0,0.014313476562499913,0.00034924316406249997,0.0,0.0,1.1458964867765151,1.5083069270824638,-0.07587931273576606,2.1725427234042263,2.871124955847461,8.30625365009669,0.10231994303695194,1.0618060992109943,1.0754480395787565,0.15372783589361272,2.1921687546369517,1.8577387185523127,-0.2832529434353329,2.74367999664157,1.3892921880311386,8.283185307179584,0.16773689274996617,1.0,1.0,0.047807738451518214,4.86126601500054
32.0,0.0,0.0,0.014738281249999919,0.00036712646484375,0.0,0.0,1.179588186765422,1.5028369735092846,-0.07725964905300271,2.168081805544036,2.943036486637077,8.30073491084622,0.10427297878309577,1.0670582007214475,1.0785742589990512,0.15324669395671306,2.1980077230298285,1.8548026699728992,-0.2921391461165365,2.790611240390815,1.408893645171166,8.283185307179584,0.17499116671576478,1.0,1.0,0.047722192970511765,4.867363736169109
33.0,0.0,0.0,0.015163085937499925,0.000385009765625,0.0,0.0,1.2132798867543293,1.4975746482468368,-0.07863998537023936,2.163620887683846,3.014948017426693,8.295258685956584,0.1062260145292396,1.0723103022319007,1.0817004784193462,0.1527655520198134,2.2038466914227053,1.8519241631796106,-0.3010253487977401,2.8375424841400605,1.4284951023111934,8.283185307179584,0.1822454406815634,1.0,1.0,0.047636647489505315,4.873461457337678
34.0,0.0,0.0,0.01558789062499993,0.00040289306640625,0.0,0.0,1.2469715867432365,1.4925098077451935,-0.080020321687476,2.159159969823656,3.086859548216309,8.289824684041816,0.10817905027538344,1.077562403742354,1.0848266978396413,0.15228441008291374,2.209685659815582,1.8490994486624897,-0.3099115514789437,2.884473727889306,1.4480965594512207,8.283185307179584,0.18949971464736198,1.0,1.0,0.047551102008498866,4.879559178506247
35.0,0.0,0.0,0.016012695312499936,0.0004207763671875,0.0,0.0,1.2806632867321435,1.4876329745472607,-0.08140065800471265,2.1546990519634655,3.1587710790059247,8.284432616640677,0.11013208602152727,1.082814505252807,1.087952917259936,0.15180326814601408,2.2155246282084593,1.846324891181175,-0.31879775416014733,2.931404971638551,1.467698016591248,8.283185307179584,0.1967539886131606,1.0,1.0,0.04746555652749241,4.8856568996748155
36.0,0.0,0.0,0.016437499999999945,0.00043865966796875,0.0,0.0,1.3143549867210507,1.4829352821883757,-0.0827809943219493,2.150238134103275,3.2306826097955406,8.279082198180182,0.1120851217676711,1.0880666067632603,1.091079136680231,0.1513221262091144,2.2213635966013365,1.843596963770417,-0.32768395684135093,2.978336215387796,1.4872994737312755,8.283185307179584,0.2040082625789592,1.0,1.0,0.047380011046485954,4.891754620843384
37.0,0.0,0.0,0.01686230468749995,0.00045654296875,0.0,0.0,1.3480466867099579,1.478408425529324,-0.08416133063918593,2.145777216243085,3.3025941405851564,8.273773145939622,0.11403815751381494,1.0933187082737135,1.094205356100526,0.15084098427221473,2.2272025649942133,1.8409122419854413,-0.33657015952255454,3.0252674591370416,1.5069009308713028,8.283185307179584,0.2112625365447578,1.0,1.0,0.047294465565479504,4.897852342011954
38.0,0.0,0.0,0.017287109374999957,0.00047442626953125004,0.0,0.0,1.381738386698865,1.4740446159043241,-0.08554166695642258,2.141316298382895,3.3745056713747723,8.268505180015177,0.11599119325995877,1.0985708097841667,1.097331575520821,0.15035984233531507,2.23304153338709,1.8382673986244131,-0.34545636220375814,3.072198702886287,1.5265023880113302,8.283185307179584,0.21851681051055638,1.0,1.0,0.047208920084473055,4.903950063180524
39.0,0.0,0.0,0.017711914062499966,0.0004923095703125,0.0,0.0,1.4154300866877723,1.4698365405449838,-0.08692200327365923,2.1368553805227046,3.446417202164388,8.263278023285007,0.1179442290061026,1.1038229112946198,1.100457794941116,0.1498787003984154,2.2388805017799673,1.8356591987164934,-0.35434256488496174,3.1191299466355322,1.5461038451513576,8.283185307179584,0.225771084476355,1.0,1.0,0.0471233746034666,4.910047784349093
40.0,0.0,0.0,0.01813671874999997,0.0005101928710937501,0.0,0.0,1.4491217866766795,1.4657773258093472,-0.08830233959089587,2.132394462662514,3.518328732954004,8.25809140163357,0.11989726475224644,1.109075012805073,1.103584014361411,0.14939755846151573,2.2447194701728446,1.833084494840103,-0.36322876756616534,3.1660611903847773,1.565705302291385,8.283185307179584,0.2330253584421536,1.0,1.0,0.04703782912246014,4.916145505517662
