alpha,H,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
71,0.000E+00,0.000E+00,2.235E-02,0.000E+00,0.000E+00,4.541E-05,9.839E-05,4.620E-02,9.080E-02,3.246E+00,1.487E+00,-6.868E-01,1.700E+01,2.345E+00,3.142E+00,5.302E-03,2.508E+00,2.591E+00,6.895E-02,4.298E+00,1.445E+00,-5.578E-01,1.499E+01,2.263E+00,3.142E+00,-2.010E-03,2.693E+00,2.659E+00,1.881E-01,1.930E+00,1.484E+00,-5.322E-01,1.156E+01,2.254E+00,3.142E+00,5.935E-04,2.722E+00,2.732E+00,9.747E-02,3.564E+00
72,0.000E+00,0.000E+00,2.315E-02,0.000E+00,0.000E+00,5.371E-05,1.055E-04,4.794E-02,9.422E-02,3.368E+00,1.469E+00,-6.918E-01,1.787E+01,2.411E+00,3.142E+00,6.689E-03,2.460E+00,2.564E+00,6.791E-02,4.347E+00,1.421E+00,-5.374E-01,1.435E+01,2.370E+00,3.142E+00,-1.966E-03,2.684E+00,2.651E+00,1.906E-01,1.907E+00,1.476E+00,-5.407E-01,1.220E+01,2.268E+00,3.142E+00,1.255E-03,2.709E+00,2.730E+00,9.682E-02,3.584E+00
73,0.000E+00,0.000E+00,2.427E-02,0.000E+00,0.000E+00,1.030E-04,1.602E-04,5.033E-02,9.895E-02,3.537E+00,1.424E+00,-6.851E-01,1.849E+01,2.618E+00,3.142E+00,5.618E-03,2.464E+00,2.551E+00,6.814E-02,4.336E+00,1.406E+00,-5.486E-01,1.514E+01,2.442E+00,3.142E+00,6.249E-03,2.500E+00,2.593E+00,1.888E-01,1.923E+00,1.448E+00,-5.424E-01,1.267E+01,2.386E+00,3.142E+00,1.377E-03,2.663E+00,2.686E+00,9.769E-02,3.557E+00
74,0.000E+00,0.000E+00,2.539E-02,0.000E+00,0.000E+00,1.523E-04,2.148E-04,5.271E-02,1.037E-01,3.705E+00,1.383E+00,-6.785E-01,1.910E+01,2.825E+00,3.142E+00,4.548E-03,2.469E+00,2.539E+00,6.837E-02,4.325E+00,1.392E+00,-5.598E-01,1.593E+01,2.514E+00,3.142E+00,1.446E-02,2.316E+00,2.535E+00,1.869E-01,1.939E+00,1.423E+00,-5.441E-01,1.313E+01,2.503E+00,3.142E+00,1.500E-03,2.617E+00,2.642E+00,9.856E-02,3.531E+00
75,0.000E+00,0.000E+00,2.659E-02,0.000E+00,0.000E+00,2.280E-04,2.827E-04,5.562E-02,1.092E-01,3.904E+00,1.356E+00,-6.809E-01,1.987E+01,2.973E+00,3.142E+00,4.803E-03,2.430E+00,2.503E+00,6.641E-02,4.425E+00,1.360E+00,-5.409E-01,1.478E+01,2.748E+00,3.142E+00,8.709E-03,2.389E+00,2.521E+00,1.871E-01,1.937E+00,1.412E+00,-5.340E-01,1.274E+01,2.571E+00,3.142E+00,2.299E-03,2.574E+00,2.611E+00,9.675E-02,3.587E+00
76,0.000E+00,0.000E+00,2.780E-02,0.000E+00,0.000E+00,3.037E-04,3.506E-04,5.852E-02,1.146E-01,4.103E+00,1.331E+00,-6.834E-01,2.064E+01,3.120E+00,3.142E+00,5.059E-03,2.391E+00,2.467E+00,6.445E-02,4.526E+00,1.334E+00,-5.220E-01,1.363E+01,2.982E+00,3.142E+00,2.955E-03,2.462E+00,2.508E+00,1.874E-01,1.936E+00,1.402E+00,-5.239E-01,1.235E+01,2.639E+00,3.142E+00,3.098E-03,2.531E+00,2.580E+00,9.494E-02,3.643E+00
77,0.000E+00,0.000E+00,2.881E-02,0.000E+00,0.000E+00,4.072E-04,4.243E-04,6.072E-02,1.189E-01,4.257E+00,1.311E+00,-6.757E-01,2.013E+01,3.282E+00,3.142E+00,5.206E-03,2.360E+00,2.437E+00,6.341E-02,4.583E+00,1.285E+00,-5.148E-01,1.449E+01,3.249E+00,3.142E+00,1.818E-03,2.436E+00,2.464E+00,1.863E-01,1.945E+00,1.362E+00,-5.220E-01,1.249E+01,2.908E+00,3.142E+00,3.376E-03,2.480E+00,2.532E+00,9.361E-02,3.687E+00
78,0.000E+00,0.000E+00,2.981E-02,0.000E+00,0.000E+00,5.107E-04,4.980E-04,6.292E-02,1.231E-01,4.412E+00,1.293E+00,-6.680E-01,1.963E+01,3.443E+00,3.142E+00,5.354E-03,2.329E+00,2.407E+00,6.237E-02,4.641E+00,1.241E+00,-5.076E-01,1.534E+01,3.516E+00,3.142E+00,6.808E-04,2.410E+00,2.420E+00,1.852E-01,1.955E+00,1.325E+00,-5.201E-01,1.262E+01,3.178E+00,3.142E+00,3.655E-03,2.429E+00,2.484E+00,9.228E-02,3.730E+00
79,0.000E+00,0.000E+00,2.964E-02,0.000E+00,0.000E+00,1.238E-03,1.146E-03,6.418E-02,1.250E-01,4.499E+00,1.253E+00,-6.560E-01,1.884E+01,3.838E+00,3.142E+00,7.835E-03,2.282E+00,2.393E+00,6.091E-02,4.728E+00,1.191E+00,-4.824E-01,1.400E+01,4.102E+00,3.142E+00,3.036E-03,2.325E+00,2.367E+00,1.822E-01,1.982E+00,1.301E+00,-5.185E-01,1.292E+01,3.344E+00,3.142E+00,8.193E-03,2.318E+00,2.435E+00,9.155E-02,3.755E+00
80,0.000E+00,0.000E+00,2.946E-02,0.000E+00,0.000E+00,1.965E-03,1.793E-03,6.543E-02,1.268E-01,4.586E+00,1.219E+00,-6.440E-01,1.805E+01,4.233E+00,3.142E+00,1.032E-02,2.235E+00,2.380E+00,5.944E-02,4.815E+00,1.154E+00,-4.571E-01,1.266E+01,4.689E+00,3.142E+00,5.390E-03,2.240E+00,2.314E+00,1.793E-01,2.010E+00,1.277E+00,-5.169E-01,1.321E+01,3.511E+00,3.142E+00,1.273E-02,2.208E+00,2.386E+00,9.082E-02,3.780E+00
81,0.000E+00,0.000E+00,2.835E-02,0.000E+00,0.000E+00,2.652E-03,2.304E-03,6.442E-02,1.243E-01,4.517E+00,1.164E+00,-6.368E-01,1.802E+01,4.909E+00,3.142E+00,1.983E-02,2.036E+00,2.286E+00,5.670E-02,4.998E+00,1.101E+00,-4.375E-01,1.197E+01,5.600E+00,3.142E+00,3.759E-02,1.871E+00,2.313E+00,1.763E-01,2.039E+00,1.221E+00,-5.119E-01,1.320E+01,4.092E+00,3.142E+00,2.724E-02,1.986E+00,2.329E+00,8.916E-02,3.839E+00
82,0.000E+00,0.000E+00,2.724E-02,0.000E+00,0.000E+00,3.339E-03,2.814E-03,6.342E-02,1.217E-01,4.448E+00,1.118E+00,-6.296E-01,1.799E+01,5.585E+00,3.142E+00,2.934E-02,1.837E+00,2.192E+00,5.395E-02,5.181E+00,1.060E+00,-4.180E-01,1.128E+01,6.511E+00,3.142E+00,6.979E-02,1.503E+00,2.311E+00,1.733E-01,2.068E+00,1.174E+00,-5.069E-01,1.319E+01,4.673E+00,3.142E+00,4.174E-02,1.765E+00,2.273E+00,8.749E-02,3.899E+00
83,0.000E+00,0.000E+00,2.284E-02,0.000E+00,0.000E+00,4.050E-03,3.431E-03,5.585E-02,1.061E-01,3.915E+00,1.083E+00,-6.236E-01,1.672E+01,6.473E+00,3.142E+00,5.917E-02,1.522E+00,2.131E+00,5.064E-02,5.447E+00,1.041E+00,-4.085E-01,1.073E+01,7.161E+00,3.142E+00,7.940E-02,1.334E+00,2.154E+00,1.678E-01,2.127E+00,1.149E+00,-4.974E-01,1.237E+01,5.206E+00,3.142E+00,6.538E-02,1.483E+00,2.167E+00,8.295E-02,4.083E+00
84,0.000E+00,0.000E+00,1.845E-02,0.000E+00,0.000E+00,4.762E-03,4.048E-03,4.829E-02,9.059E-02,3.381E+00,1.057E+00,-6.176E-01,1.545E+01,7.361E+00,3.142E+00,8.901E-02,1.207E+00,2.071E+00,4.732E-02,5.714E+00,1.025E+00,-3.991E-01,1.019E+01,7.811E+00,3.142E+00,8.901E-02,1.165E+00,1.997E+00,1.623E-01,2.186E+00,1.128E+00,-4.878E-01,1.155E+01,5.739E+00,3.142E+00,8.901E-02,1.202E+00,2.061E+00,7.841E-02,4.268E+00
