alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
47,0.000E+00,0.000E+00,1.036E-02,0.000E+00,0.000E+00,4.553E-04,1.236E-03,5.418E-03,2.029E-02,1.101E+00,1.807E+00,-5.206E-01,5.784E+00,1.492E+00,3.142E+00,-3.532E-03,2.510E+00,2.454E+00,5.506E-02,4.213E+00,1.681E+00,-2.470E-01,2.813E+00,2.053E+00,3.142E+00,-5.256E-04,2.801E+00,2.792E+00,1.002E-01,3.482E+00,1.748E+00,-4.177E-01,4.118E+00,1.799E+00,3.142E+00,-1.832E-03,2.607E+00,2.577E+00,5.003E-02,5.437E+00
48,0.000E+00,0.000E+00,1.063E-02,0.000E+00,0.000E+00,4.814E-04,1.296E-03,5.568E-03,2.071E-02,1.129E+00,1.810E+00,-5.424E-01,6.144E+00,1.482E+00,3.142E+00,-5.417E-03,2.569E+00,2.484E+00,5.543E-02,4.193E+00,1.677E+00,-2.347E-01,2.649E+00,2.129E+00,3.142E+00,-9.016E-04,2.820E+00,2.804E+00,1.002E-01,3.483E+00,1.737E+00,-4.322E-01,4.329E+00,1.835E+00,3.142E+00,-1.159E-03,2.602E+00,2.584E+00,5.126E-02,5.333E+00
49,0.000E+00,0.000E+00,1.110E-02,0.000E+00,0.000E+00,5.137E-04,1.423E-03,5.845E-03,2.187E-02,1.185E+00,1.815E+00,-5.862E-01,7.399E+00,1.418E+00,3.142E+00,-4.296E-03,2.551E+00,2.484E+00,5.395E-02,4.273E+00,1.682E+00,-2.815E-01,3.160E+00,2.005E+00,3.142E+00,-2.023E-03,2.834E+00,2.798E+00,1.005E-01,3.473E+00,1.729E+00,-4.617E-01,4.796E+00,1.838E+00,3.142E+00,-3.464E-03,2.635E+00,2.578E+00,4.819E-02,5.597E+00
50,0.000E+00,0.000E+00,1.133E-02,0.000E+00,0.000E+00,5.298E-04,1.486E-03,5.983E-03,2.246E-02,1.213E+00,1.821E+00,-6.080E-01,8.026E+00,1.385E+00,3.142E+00,-3.735E-03,2.543E+00,2.484E+00,5.321E-02,4.314E+00,1.689E+00,-3.049E-01,3.416E+00,1.943E+00,3.142E+00,-2.583E-03,2.841E+00,2.795E+00,1.007E-01,3.467E+00,1.727E+00,-4.764E-01,5.029E+00,1.840E+00,3.142E+00,-4.616E-03,2.652E+00,2.576E+00,4.665E-02,5.729E+00
51,0.000E+00,0.000E+00,1.157E-02,0.000E+00,0.000E+00,5.459E-04,1.550E-03,6.121E-03,2.304E-02,1.241E+00,1.830E+00,-6.299E-01,8.654E+00,1.353E+00,3.142E+00,-3.175E-03,2.534E+00,2.484E+00,5.248E-02,4.354E+00,1.698E+00,-3.284E-01,3.671E+00,1.881E+00,3.142E+00,-3.144E-03,2.848E+00,2.792E+00,1.009E-01,3.462E+00,1.725E+00,-4.912E-01,5.262E+00,1.842E+00,3.142E+00,-5.769E-03,2.668E+00,2.573E+00,4.512E-02,5.860E+00
52,0.000E+00,0.000E+00,1.227E-02,0.000E+00,0.000E+00,6.216E-04,1.664E-03,6.537E-03,2.425E-02,1.317E+00,1.803E+00,-5.922E-01,7.371E+00,1.474E+00,3.142E+00,-3.540E-03,2.497E+00,2.443E+00,5.259E-02,4.347E+00,1.683E+00,-3.450E-01,3.924E+00,1.930E+00,3.142E+00,-2.901E-03,2.855E+00,2.803E+00,1.003E-01,3.481E+00,1.719E+00,-5.213E-01,6.342E+00,1.752E+00,3.142E+00,-2.664E-03,2.589E+00,2.544E+00,4.714E-02,5.681E+00
53,0.000E+00,0.000E+00,1.262E-02,0.000E+00,0.000E+00,6.594E-04,1.720E-03,6.744E-03,2.485E-02,1.355E+00,1.794E+00,-5.733E-01,6.730E+00,1.535E+00,3.142E+00,-3.722E-03,2.479E+00,2.423E+00,5.264E-02,4.344E+00,1.675E+00,-3.533E-01,4.051E+00,1.954E+00,3.142E+00,-2.779E-03,2.858E+00,2.808E+00,9.992E-02,3.491E+00,1.721E+00,-5.364E-01,6.882E+00,1.706E+00,3.142E+00,-1.112E-03,2.549E+00,2.530E+00,4.815E-02,5.591E+00
54,0.000E+00,0.000E+00,1.298E-02,0.000E+00,0.000E+00,6.973E-04,1.777E-03,6.952E-03,2.545E-02,1.393E+00,1.789E+00,-5.544E-01,6.088E+00,1.595E+00,3.142E+00,-3.905E-03,2.461E+00,2.402E+00,5.270E-02,4.341E+00,1.668E+00,-3.616E-01,4.177E+00,1.979E+00,3.142E+00,-2.658E-03,2.862E+00,2.814E+00,9.960E-02,3.500E+00,1.724E+00,-5.514E-01,7.422E+00,1.661E+00,3.142E+00,4.398E-04,2.509E+00,2.516E+00,4.916E-02,5.501E+00
55,0.000E+00,0.000E+00,1.367E-02,0.000E+00,0.000E+00,8.716E-04,2.339E-03,7.367E-03,2.670E-02,1.483E+00,1.754E+00,-5.884E-01,7.188E+00,1.667E+00,3.142E+00,-3.229E-03,2.459E+00,2.411E+00,5.221E-02,4.369E+00,1.664E+00,-3.512E-01,3.998E+00,2.027E+00,3.142E+00,-2.468E-03,2.822E+00,2.778E+00,9.920E-02,3.512E+00,1.717E+00,-5.619E-01,7.223E+00,1.742E+00,3.142E+00,-1.585E-03,2.595E+00,2.568E+00,4.815E-02,5.588E+00
56,0.000E+00,0.000E+00,1.401E-02,0.000E+00,0.000E+00,9.587E-04,2.620E-03,7.574E-03,2.732E-02,1.528E+00,1.739E+00,-6.054E-01,7.738E+00,1.702E+00,3.142E+00,-2.891E-03,2.459E+00,2.416E+00,5.196E-02,4.383E+00,1.662E+00,-3.461E-01,3.908E+00,2.051E+00,3.142E+00,-2.373E-03,2.803E+00,2.761E+00,9.900E-02,3.518E+00,1.714E+00,-5.671E-01,7.124E+00,1.783E+00,3.142E+00,-2.597E-03,2.637E+00,2.594E+00,4.764E-02,5.632E+00
