alpha,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
50,0.000E+00,0.000E+00,2.051E-02,0.000E+00,4.775E-02,5.602E-02,2.757E-02,8.753E-02,5.561E+00,1.795E+00,-6.982E-01,1.911E+01,1.133E+00,3.142E+00,7.942E-03,2.311E+00,2.426E+00,1.094E-01,3.932E+00,1.651E+00,-2.518E-01,3.391E+00,1.937E+00,3.142E+00,1.335E-03,2.642E+00,2.664E+00,1.216E-01,3.707E+00,1.767E+00,-5.750E-01,9.194E+00,1.390E+00,3.142E+00,6.957E-03,2.357E+00,2.460E+00,7.586E-02,5.636E+00
51,0.000E+00,0.000E+00,2.150E-02,0.000E+00,5.062E-02,5.918E-02,2.940E-02,9.296E-02,5.892E+00,1.774E+00,-6.909E-01,1.897E+01,1.178E+00,3.142E+00,6.566E-03,2.339E+00,2.434E+00,1.100E-01,3.914E+00,1.644E+00,-2.637E-01,3.645E+00,1.912E+00,3.142E+00,9.875E-04,2.646E+00,2.663E+00,1.210E-01,3.725E+00,1.747E+00,-5.838E-01,1.015E+01,1.403E+00,3.142E+00,5.870E-03,2.372E+00,2.459E+00,7.594E-02,5.630E+00
52,0.000E+00,0.000E+00,2.248E-02,0.000E+00,5.349E-02,6.233E-02,3.123E-02,9.838E-02,6.224E+00,1.753E+00,-6.835E-01,1.883E+01,1.223E+00,3.142E+00,5.191E-03,2.367E+00,2.442E+00,1.106E-01,3.895E+00,1.639E+00,-2.757E-01,3.899E+00,1.887E+00,3.142E+00,6.399E-04,2.651E+00,2.661E+00,1.204E-01,3.743E+00,1.729E+00,-5.926E-01,1.110E+01,1.417E+00,3.142E+00,4.783E-03,2.388E+00,2.459E+00,7.602E-02,5.624E+00
53,0.000E+00,0.000E+00,2.347E-02,0.000E+00,5.636E-02,6.548E-02,3.307E-02,1.038E-01,6.555E+00,1.733E+00,-6.762E-01,1.868E+01,1.268E+00,3.142E+00,3.815E-03,2.395E+00,2.449E+00,1.111E-01,3.877E+00,1.635E+00,-2.876E-01,4.153E+00,1.862E+00,3.142E+00,2.923E-04,2.655E+00,2.660E+00,1.198E-01,3.761E+00,1.714E+00,-6.014E-01,1.205E+01,1.430E+00,3.142E+00,3.696E-03,2.403E+00,2.458E+00,7.610E-02,5.619E+00
54,0.000E+00,0.000E+00,2.396E-02,0.000E+00,5.780E-02,6.706E-02,3.398E-02,1.065E-01,6.721E+00,1.723E+00,-6.725E-01,1.861E+01,1.291E+00,3.142E+00,3.127E-03,2.409E+00,2.453E+00,1.114E-01,3.868E+00,1.634E+00,-2.936E-01,4.280E+00,1.850E+00,3.142E+00,1.185E-04,2.658E+00,2.660E+00,1.195E-01,3.770E+00,1.706E+00,-6.058E-01,1.253E+01,1.437E+00,3.142E+00,3.152E-03,2.411E+00,2.457E+00,7.614E-02,5.616E+00
55,0.000E+00,0.000E+00,2.446E-02,0.000E+00,5.924E-02,6.863E-02,3.490E-02,1.092E-01,6.887E+00,1.713E+00,-6.689E-01,1.854E+01,1.313E+00,3.142E+00,2.439E-03,2.423E+00,2.457E+00,1.117E-01,3.859E+00,1.633E+00,-2.996E-01,4.407E+00,1.837E+00,3.142E+00,-5.529E-05,2.660E+00,2.659E+00,1.192E-01,3.779E+00,1.700E+00,-6.102E-01,1.301E+01,1.444E+00,3.142E+00,2.609E-03,2.418E+00,2.457E+00,7.619E-02,5.613E+00
56,0.000E+00,0.000E+00,2.544E-02,0.000E+00,6.211E-02,7.178E-02,3.673E-02,1.147E-01,7.218E+00,1.694E+00,-6.615E-01,1.840E+01,1.358E+00,3.142E+00,1.064E-03,2.451E+00,2.465E+00,1.123E-01,3.841E+00,1.632E+00,-3.115E-01,4.661E+00,1.813E+00,3.142E+00,-4.029E-04,2.664E+00,2.658E+00,1.186E-01,3.797E+00,1.687E+00,-6.190E-01,1.396E+01,1.457E+00,3.142E+00,1.522E-03,2.434E+00,2.456E+00,7.627E-02,5.608E+00
57,0.000E+00,0.000E+00,2.643E-02,0.000E+00,6.498E-02,7.494E-02,3.856E-02,1.201E-01,7.550E+00,1.676E+00,-6.542E-01,1.826E+01,1.403E+00,3.142E+00,-3.119E-04,2.479E+00,2.472E+00,1.128E-01,3.823E+00,1.632E+00,-3.234E-01,4.915E+00,1.788E+00,3.142E+00,-7.505E-04,2.669E+00,2.656E+00,1.180E-01,3.815E+00,1.676E+00,-6.279E-01,1.492E+01,1.471E+00,3.142E+00,4.350E-04,2.449E+00,2.455E+00,7.635E-02,5.602E+00
58,0.000E+00,0.000E+00,2.741E-02,0.000E+00,6.785E-02,7.809E-02,4.040E-02,1.255E-01,7.881E+00,1.658E+00,-6.468E-01,1.812E+01,1.448E+00,3.142E+00,-1.688E-03,2.507E+00,2.480E+00,1.134E-01,3.805E+00,1.633E+00,-3.354E-01,5.169E+00,1.763E+00,3.142E+00,-1.098E-03,2.674E+00,2.655E+00,1.174E-01,3.833E+00,1.666E+00,-6.367E-01,1.587E+01,1.484E+00,3.142E+00,-6.520E-04,2.465E+00,2.454E+00,7.643E-02,5.596E+00
59,0.000E+00,0.000E+00,2.790E-02,0.000E+00,6.929E-02,7.966E-02,4.131E-02,1.282E-01,8.047E+00,1.649E+00,-6.432E-01,1.804E+01,1.471E+00,3.142E+00,-2.375E-03,2.521E+00,2.484E+00,1.137E-01,3.796E+00,1.634E+00,-3.414E-01,5.296E+00,1.751E+00,3.142E+00,-1.272E-03,2.676E+00,2.655E+00,1.171E-01,3.842E+00,1.661E+00,-6.411E-01,1.635E+01,1.491E+00,3.142E+00,-1.195E-03,2.472E+00,2.454E+00,7.647E-02,5.593E+00
