alpha,H,He,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
10,0.000E+00,0.000E+00,2.645E-03,0.000E+00,2.089E-03,8.716E-03,2.723E-01,1.720E+00,-1.121E-01,2.115E+00,1.677E+00,3.142E+00,-3.746E-03,2.672E+00,2.610E+00,1.126E-01,3.158E+00,1.805E+00,-1.231E-01,1.958E+00,1.444E+00,3.142E+00,-5.263E-04,2.408E+00,2.401E+00,5.908E-02,4.794E+00
11,0.000E+00,0.000E+00,2.717E-03,0.000E+00,2.119E-03,8.915E-03,2.784E-01,1.719E+00,-1.253E-01,2.199E+00,1.684E+00,3.142E+00,-3.566E-03,2.666E+00,2.607E+00,1.121E-01,3.169E+00,1.806E+00,-1.329E-01,1.986E+00,1.461E+00,3.142E+00,-7.588E-04,2.406E+00,2.395E+00,5.921E-02,4.786E+00
12,0.000E+00,0.000E+00,2.789E-03,0.000E+00,2.149E-03,9.113E-03,2.845E-01,1.718E+00,-1.385E-01,2.282E+00,1.692E+00,3.142E+00,-3.387E-03,2.660E+00,2.604E+00,1.116E-01,3.181E+00,1.807E+00,-1.427E-01,2.014E+00,1.478E+00,3.142E+00,-9.913E-04,2.404E+00,2.390E+00,5.934E-02,4.778E+00
13,0.000E+00,0.000E+00,2.862E-03,0.000E+00,2.180E-03,9.312E-03,2.906E-01,1.718E+00,-1.516E-01,2.366E+00,1.699E+00,3.142E+00,-3.208E-03,2.653E+00,2.601E+00,1.111E-01,3.193E+00,1.808E+00,-1.525E-01,2.041E+00,1.495E+00,3.142E+00,-1.224E-03,2.402E+00,2.384E+00,5.947E-02,4.770E+00
14,0.000E+00,0.000E+00,2.898E-03,0.000E+00,2.195E-03,9.411E-03,2.937E-01,1.718E+00,-1.582E-01,2.407E+00,1.703E+00,3.142E+00,-3.119E-03,2.650E+00,2.599E+00,1.109E-01,3.198E+00,1.808E+00,-1.574E-01,2.055E+00,1.504E+00,3.142E+00,-1.340E-03,2.401E+00,2.381E+00,5.953E-02,4.767E+00
15,0.000E+00,0.000E+00,2.934E-03,0.000E+00,2.210E-03,9.511E-03,2.967E-01,1.718E+00,-1.648E-01,2.449E+00,1.706E+00,3.142E+00,-3.029E-03,2.647E+00,2.598E+00,1.107E-01,3.204E+00,1.808E+00,-1.623E-01,2.069E+00,1.512E+00,3.142E+00,-1.456E-03,2.400E+00,2.379E+00,5.959E-02,4.763E+00
16,0.000E+00,0.000E+00,3.006E-03,0.000E+00,2.240E-03,9.709E-03,3.028E-01,1.718E+00,-1.780E-01,2.533E+00,1.714E+00,3.142E+00,-2.850E-03,2.641E+00,2.594E+00,1.102E-01,3.216E+00,1.809E+00,-1.721E-01,2.097E+00,1.529E+00,3.142E+00,-1.689E-03,2.398E+00,2.373E+00,5.972E-02,4.755E+00
17,0.000E+00,0.000E+00,3.079E-03,0.000E+00,2.271E-03,9.908E-03,3.090E-01,1.718E+00,-1.912E-01,2.616E+00,1.721E+00,3.142E+00,-2.671E-03,2.635E+00,2.591E+00,1.097E-01,3.227E+00,1.810E+00,-1.819E-01,2.125E+00,1.546E+00,3.142E+00,-1.921E-03,2.396E+00,2.368E+00,5.985E-02,4.747E+00
18,0.000E+00,0.000E+00,3.151E-03,0.000E+00,2.301E-03,1.011E-02,3.151E-01,1.719E+00,-2.044E-01,2.700E+00,1.729E+00,3.142E+00,-2.492E-03,2.629E+00,2.588E+00,1.092E-01,3.239E+00,1.811E+00,-1.918E-01,2.153E+00,1.563E+00,3.142E+00,-2.154E-03,2.393E+00,2.362E+00,5.998E-02,4.739E+00
19,0.000E+00,0.000E+00,3.187E-03,0.000E+00,2.316E-03,1.021E-02,3.181E-01,1.719E+00,-2.110E-01,2.741E+00,1.732E+00,3.142E+00,-2.402E-03,2.626E+00,2.587E+00,1.090E-01,3.245E+00,1.811E+00,-1.967E-01,2.167E+00,1.572E+00,3.142E+00,-2.270E-03,2.392E+00,2.360E+00,6.004E-02,4.736E+00
